,X,Y,S_02_ID_x,DNAME_2002,D_02_ID_x,C_02_ID_x,SNAME_2002_x,CNAME_2002_x,2002_CENSU,PROJ_POP_J,Urban,Cvrg2008,FID_1,FID_1_1,SN,DISTRICT,VILLAGE,SOURCE_NAM,FUND_AGENC,YEAR_CONST,SOURCE_TYP,OWNER_TYPE,STATUS,DEPTH,SWL,YIELD,RECEIVED_N,RECEIVED_E,WSSC__EXIS,WSSC_TRAIN,CONTRACTOR,Y_UTM200,DNAME_2010,DNAME_2006,CNAME_2006,SNAME_2006,PNAME_2006,FID_2,D_02_ID_y,PNAME_2002,P_02_ID,YPE,LABEL_P,DTW,DEPTH_clean,uid
11067,33.325,3.361003089,305108,4,305,3051,43,5,14103,17852,0,77,967,968,1002,2,414,404,31,117,0,4,7,90,35.09,3.24,535709,370027,6,16,7,570027,4,4,6,40,185,452,305,176,30510802,3,176,16,90,11067
159,33.075,3.261003089,305106,4,305,3051,28,5,13027,16490,0,76,1297,1298,291,2,761,468,1,60,0,14,7,292,12,3.7,504838,361376,1,16,0,561376,4,4,6,19,58,545,305,55,30510201,3,55,3.5,89,159
160,33.025,3.311003089,305102,4,305,3051,22,5,11666,14767,0,95,1297,1298,291,2,761,468,1,60,0,14,7,292,12,3.7,504838,361376,1,16,0,561376,4,4,6,19,58,545,305,55,30510201,3,55,3.5,89,160
161,33.025,3.261003089,305102,4,305,3051,22,5,11666,14767,0,95,1297,1298,291,2,761,468,1,60,0,14,7,292,12,3.7,504838,361376,1,16,0,561376,4,4,6,19,58,545,305,55,30510201,3,55,16,89,161
10576,32.825,3.311003089,305103,4,305,3051,25,5,12858,16276,0,95,1062,1063,97,2,455,54,1,68,0,1,7,288,110,0.41,481822,365702,1,1,0,565702,4,4,6,22,196,493,305,187,30510303,3,187,3.5,89,10576
10577,32.875,3.311003089,305101,4,305,3051,21,5,0,0,1,0,1062,1063,97,2,455,54,1,68,0,1,7,288,110,0.41,481822,365702,1,1,0,565702,4,4,6,22,196,493,305,187,30510303,3,187,3.5,89,10577
10578,32.825,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1062,1063,97,2,455,54,1,68,0,1,7,288,110,0.41,481822,365702,1,1,0,565702,4,4,6,22,196,493,305,187,30510303,3,187,3.5,89,10578
10528,32.825,3.311003089,305103,4,305,3051,25,5,12858,16276,0,95,1204,1206,236,2,559,517,31,117,0,4,7,87.67,32.24,0.31,481904,362940,6,16,10,562940,4,4,6,22,97,523,305,92,30510301,3,92,3.5,87.67,10528
10529,32.875,3.311003089,305101,4,305,3051,21,5,0,0,1,0,1204,1206,236,2,559,517,31,117,0,4,7,87.67,32.24,0.31,481904,362940,6,16,10,562940,4,4,6,22,97,523,305,92,30510301,3,92,3.5,87.67,10529
10530,32.825,3.261003089,305104,4,305,3051,26,5,10663,13498,0,95,1204,1206,236,2,559,517,31,117,0,4,7,87.67,32.24,0.31,481904,362940,6,16,10,562940,4,4,6,22,97,523,305,92,30510301,3,92,3.5,87.67,10530
