,X,Y,S_02_ID_x,DNAE_2002,D_02_ID_x,C_02_ID_x,SNAE_2002_x,CNAE_2002_x,2002_CENSU,PROJ_POP_J,Urban,Cvrg2008,FID_1,FID_1_1,SN,DISTRICT,VILLAGE,SOURCE_NA,FUND_AGENC,YEAR_CONST,SOURCE_TYP,OWNER_TYPE,STATUS,DEPTH,SWL,YIELD,RECEIVED_N,RECEIVED_E,WSSC__EXIS,WSSC_TRAIN,CONTRACTOR,Y_UT200,DNAE_2010,DNAE_2006,CNAE_2006,SNAE_2006,PNAE_2006,FID_2,D_02_ID_y,PNAE_2002,P_02_ID,FTYPE,LABEL_P,DTW,DEPTH_clean,uid,geometry
394,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1129,1130,1079,2,180,127,12,93,0,5,7,,,,523207,365733,5,9,0,565733,4,4,5,44,214,509,305,205,30510904,3,205,3.5,,394,POINT (33.20890091682306 3.308842174602035)
393,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1122,1123,242,2,706,386,99999,0,0,4,7,,,,523207,365733,5,9,0,565733,4,4,5,44,214,509,305,205,30510904,3,205,16,,393,POINT (33.20890091682306 3.308842174602035)
392,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1122,1123,242,2,706,386,99999,0,0,4,7,,,,523207,365733,5,9,0,565733,4,4,5,44,214,509,305,205,30510904,3,205,3.5,,392,POINT (33.20890091682306 3.308842174602035)
391,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1236,1237,1074,2,180,99999,99,66,0,15,7,,,,365101,521533,6,16,0,565101,4,4,5,44,205,530,305,196,30510903,3,196,16,,391,POINT (33.19383113219048 3.303127568339292)
390,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1236,1237,1074,2,180,99999,99,66,0,15,7,,,,365101,521533,6,16,0,565101,4,4,5,44,205,530,305,196,30510903,3,196,16,,390,POINT (33.19383113219048 3.303127568339292)
389,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1236,1237,1074,2,180,99999,99,66,0,15,7,,,,365101,521533,6,16,0,565101,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,389,POINT (33.19383113219048 3.303127568339292)
388,33.225,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1230,1231,1049,2,778,728,8,116,0,4,7,46,24.94,7.65,521165,363224,6,11,6,563224,4,4,5,44,205,530,305,196,30510903,3,196,3.5,46,388,POINT (33.19051533254426 3.286147061665101)
387,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1230,1231,1049,2,778,728,8,116,0,4,7,46,24.94,7.65,521165,363224,6,11,6,563224,4,4,5,44,205,530,305,196,30510903,3,196,16,46,387,POINT (33.19051533254426 3.286147061665101)
386,33.225,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1230,1231,1049,2,778,728,8,116,0,4,7,46,24.94,7.65,521165,363224,6,11,6,563224,4,4,5,44,205,530,305,196,30510903,3,196,16,46,386,POINT (33.19051533254426 3.286147061665101)
385,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1230,1231,1049,2,778,728,8,116,0,4,7,46,24.94,7.65,521165,363224,6,11,6,563224,4,4,5,44,205,530,305,196,30510903,3,196,3.5,46,385,POINT (33.19051533254426 3.286147061665101)
384,33.175,3.261003089,305109,4,305,3051,49,5,16570,20975,0,79,1229,1230,1048,2,18,99999,31,111,0,99999,7,,,,362202,519610,6,10,0,562202,4,4,5,44,205,530,305,196,30510903,3,196,16,,384,POINT (33.17651652816391 3.27690363841104)
383,33.175,3.311003089,305109,4,305,3051,49,5,16570,20975,0,79,1229,1230,1048,2,18,99999,31,111,0,99999,7,,,,362202,519610,6,10,0,562202,4,4,5,44,205,530,305,196,30510903,3,196,3.5,,383,POINT (33.17651652816391 3.27690363841104)
